"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2023","871.000","864.000","871.000","864.000","","0.08%"
"02/20/2023","870.265","864.082","871.136","864.082","","0.73%"
"02/17/2023","864.000","860.768","876.609","849.314","","0.35%"
"02/16/2023","861.000","857.000","872.453","844.349","","0.47%"
"02/15/2023","857.000","850.078","869.492","836.964","","0.76%"
"02/14/2023","850.500","846.104","864.114","828.975","","1.37%"
"02/13/2023","839.000","838.852","856.129","825.345","","0.00%"
"02/10/2023","839.000","835.098","852.926","820.466","","0.48%"
"02/09/2023","835.000","831.815","849.631","818.323","","0.36%"
"02/08/2023","832.000","816.648","845.491","802.528","","1.84%"
"02/07/2023","817.000","812.153","831.120","798.483","","0.62%"
"02/06/2023","812.000","805.879","825.670","791.842","","0.74%"
"02/03/2023","806.000","802.000","820.036","789.361","","0.36%"
"02/02/2023","803.115","801.602","803.919","801.602","","0.20%"
"02/01/2023","801.500","778.500","815.400","778.500","","2.89%"
"01/31/2023","779.000","785.584","796.521","776.685","","-0.13%"
"01/30/2023","780.000","780.000","780.000","780.000","","0.00%"
"01/27/2023","780.000","780.795","787.205","774.288","","0.13%"
"01/26/2023","779.000","780.052","785.507","773.545","","0.06%"
"01/25/2023","778.531","732.500","779.310","732.000","","6.36%"
"01/24/2023","732.000","732.500","764.547","732.000","","0.00%"
"01/23/2023","732.000","746.611","755.047","732.000","","-1.86%"
"01/20/2023","745.865","738.411","746.611","738.411","","1.89%"
"01/19/2023","732.000","732.004","740.837","726.368","","0.00%"
"01/18/2023","732.000","722.231","737.136","705.000","","3.76%"
"01/17/2023","705.500","714.522","722.231","704.618","","-1.16%"
"01/16/2023","713.807","708.650","714.522","671.446","","1.25%"
"01/13/2023","705.000","705.000","705.500","704.500","","0.00%"
"01/12/2023","705.000","705.416","712.471","699.561","","0.00%"
"01/11/2023","705.000","704.923","710.356","672.000","","4.91%"
"01/10/2023","672.000","704.177","704.923","670.500","","0.00%"
"01/09/2023","672.000","699.848","704.177","671.500","","-3.88%"
"01/06/2023","699.148","694.199","699.848","694.199","","4.19%"
"01/05/2023","671.000","672.000","694.199","671.000","","-0.07%"
"01/04/2023","671.500","687.284","689.924","671.500","","0.00%"
"01/03/2023","671.500","684.334","687.414","668.830","","-0.15%"
"12/30/2022","672.500","681.685","686.249","666.380","","0.00%"
"12/29/2022","672.500","679.906","683.002","669.970","","0.15%"
"12/28/2022","671.500","677.548","681.936","668.960","","-0.07%"
"12/27/2022","672.000","672.000","672.500","671.500","","0.00%"
"12/26/2022","672.000","672.000","672.500","671.500","","0.00%"
"12/23/2022","672.000","676.228","680.587","667.952","","0.07%"
"12/22/2022","671.500","672.500","672.500","671.000","","-0.15%"
"12/21/2022","672.500","674.835","688.690","662.373","","-0.22%"
"12/20/2022","674.000","673.625","681.414","664.840","","0.30%"
"12/19/2022","672.000","672.701","680.785","663.897","","0.07%"
"12/16/2022","671.500","672.205","679.805","664.158","","0.00%"
"12/15/2022","671.500","671.724","680.047","663.428","","-0.15%"
"12/14/2022","672.500","668.984","679.297","657.612","","1.66%"
"12/13/2022","661.500","661.500","673.372","655.052","","-0.48%"
"12/12/2022","664.692","662.794","664.692","662.794","","0.48%"
"12/09/2022","661.500","661.963","671.000","653.500","","-0.23%"
"12/08/2022","663.000","661.715","663.500","661.592","","0.19%"
"12/07/2022","661.715","658.737","661.715","658.737","","-0.61%"
"12/06/2022","665.805","657.724","665.805","657.724","","1.37%"
"12/05/2022","656.789","668.673","669.925","656.151","","-1.78%"
"12/02/2022","668.673","668.062","668.673","668.062","","0.09%"
"12/01/2022","668.062","668.062","668.062","668.062","","2.42%"
"11/30/2022","652.250","652.481","652.481","652.481","","0.00%"
"11/29/2022","652.250","652.481","652.481","652.481","","-2.04%"
"11/23/2022","665.805","665.805","665.805","665.805","","1.14%"
"11/16/2022","658.293","657.375","658.293","657.375","","0.14%"
"11/15/2022","657.375","653.933","657.375","653.933","","3.23%"
"11/14/2022","636.802","636.802","636.802","636.802","","-2.62%"
"11/04/2022","653.933","653.933","653.933","653.933","","0.06%"
"11/02/2022","653.573","651.227","653.573","651.227","","0.36%"
"10/28/2022","651.227","648.830","651.227","648.830","","3.00%"
"10/27/2022","632.245","632.245","632.245","632.245","","-2.56%"
"10/24/2022","648.830","648.750","648.830","648.750","","0.01%"
"10/20/2022","648.750","614.433","0.000","0.000","","3.27%"
"10/13/2022","628.197","628.207","636.083","613.367","","0.00%"
"10/12/2022","628.207","628.000","628.207","628.000","","0.03%"
"10/11/2022","628.000","628.002","635.850","619.744","","0.13%"
"10/10/2022","627.164","626.973","627.164","626.973","","0.03%"
"10/07/2022","626.973","626.941","626.973","626.941","","0.01%"
"10/06/2022","626.941","626.852","626.941","626.852","","0.01%"
"10/05/2022","626.852","623.227","626.852","623.227","","0.58%"
"10/04/2022","623.227","621.963","623.227","621.963","","0.20%"
"10/03/2022","621.963","621.892","621.963","621.892","","0.01%"
